Time, CPU Utilization (%), Memory Utilization (MB)
2023-11-07 12:54:07, 0.00, 1.50
2023-11-07 12:54:07, 0.00, 1.50
2023-11-07 12:54:07, 0.00, 1.50
2023-11-07 12:54:07, 0.00, 1.50
2023-11-07 12:54:07, 0.00, 1.50
2023-11-07 12:54:07, 0.00, 1.50
2023-11-07 12:54:07, 0.00, 1.50
2023-11-07 12:54:07, 0.00, 1.50
2023-11-07 12:54:07, 0.00, 1.50
2023-11-07 12:54:07, 0.00, 1.50
2023-11-07 12:54:08, 0.00, 1.50
2023-11-07 12:54:08, 0.00, 1.50
2023-11-07 12:54:08, 0.00, 1.50
2023-11-07 12:54:08, 0.00, 1.50
2023-11-07 12:54:08, 0.00, 1.50
2023-11-07 12:54:08, 0.00, 1.50
2023-11-07 12:54:08, 0.00, 1.50
2023-11-07 12:54:08, 0.00, 1.50
2023-11-07 12:54:08, 2.40, 1.50
2023-11-07 12:54:09, 0.00, 1.50
2023-11-07 12:54:09, 0.00, 1.50
2023-11-07 12:54:09, 0.00, 1.50
2023-11-07 12:54:09, 0.00, 1.50
2023-11-07 12:54:09, 0.00, 1.50
2023-11-07 12:54:09, 0.00, 1.50
2023-11-07 12:54:09, 0.00, 1.50
2023-11-07 12:54:09, 0.00, 1.50
2023-11-07 12:54:09, 0.00, 1.50
2023-11-07 12:54:09, 0.00, 1.50
2023-11-07 12:54:10, 0.00, 1.50
2023-11-07 12:54:10, 0.00, 1.50
2023-11-07 12:54:10, 0.00, 1.50
2023-11-07 12:54:10, 0.00, 1.50
2023-11-07 12:54:10, 0.00, 1.50
2023-11-07 12:54:10, 0.00, 1.50
2023-11-07 12:54:10, 0.00, 1.50
2023-11-07 12:54:10, 0.00, 1.50
2023-11-07 12:54:10, 0.00, 1.50
2023-11-07 12:54:10, 0.00, 1.50
2023-11-07 12:54:11, 0.00, 1.50
2023-11-07 12:54:11, 0.00, 1.50
2023-11-07 12:54:11, 0.00, 1.50
2023-11-07 12:54:11, 0.00, 1.50
2023-11-07 12:54:11, 0.00, 1.50
2023-11-07 12:54:11, 2.50, 1.50
2023-11-07 12:54:11, 0.00, 1.50
2023-11-07 12:54:11, 0.00, 1.50
2023-11-07 12:54:11, 0.00, 1.50
2023-11-07 12:54:11, 0.00, 1.50
2023-11-07 12:54:12, 0.00, 1.50
2023-11-07 12:54:12, 2.40, 1.50
2023-11-07 12:54:12, 0.00, 1.50
2023-11-07 12:54:12, 0.00, 1.50
2023-11-07 12:54:12, 2.40, 1.50
2023-11-07 12:54:12, 0.00, 1.50
2023-11-07 12:54:12, 0.00, 1.50
2023-11-07 12:54:12, 0.00, 1.50
2023-11-07 12:54:12, 0.00, 1.50
2023-11-07 12:54:12, 0.00, 1.50
2023-11-07 12:54:13, 0.00, 1.50
2023-11-07 12:54:13, 0.00, 1.50
2023-11-07 12:54:13, 0.00, 1.50
2023-11-07 12:54:13, 0.00, 1.50
2023-11-07 12:54:13, 0.00, 1.50
2023-11-07 12:54:13, 0.00, 1.50
2023-11-07 12:54:13, 0.00, 1.50
2023-11-07 12:54:13, 0.00, 1.50
2023-11-07 12:54:13, 2.40, 1.50
2023-11-07 12:54:13, 0.00, 1.50
2023-11-07 12:54:14, 0.00, 1.50
2023-11-07 12:54:14, 0.00, 1.50
2023-11-07 12:54:14, 0.00, 1.50
2023-11-07 12:54:14, 0.00, 1.50
2023-11-07 12:54:14, 0.00, 1.50
2023-11-07 12:54:14, 2.50, 1.50
2023-11-07 12:54:14, 0.00, 1.50
2023-11-07 12:54:14, 0.00, 1.50
2023-11-07 12:54:14, 0.00, 1.50
2023-11-07 12:54:14, 0.00, 1.50
2023-11-07 12:54:15, 0.00, 1.50
2023-11-07 12:54:15, 0.00, 1.50
2023-11-07 12:54:15, 2.30, 1.50
2023-11-07 12:54:15, 0.00, 1.50
2023-11-07 12:54:15, 0.00, 1.50
2023-11-07 12:54:15, 0.00, 1.50
2023-11-07 12:54:15, 2.40, 1.50
2023-11-07 12:54:15, 0.00, 1.50
2023-11-07 12:54:15, 0.00, 1.50
2023-11-07 12:54:15, 0.00, 1.50
2023-11-07 12:54:16, 0.00, 1.50
2023-11-07 12:54:16, 2.40, 1.50
2023-11-07 12:54:16, 0.00, 1.50
2023-11-07 12:54:16, 0.00, 1.50
2023-11-07 12:54:16, 0.00, 1.50
2023-11-07 12:54:16, 0.00, 1.50
2023-11-07 12:54:16, 0.00, 1.50
2023-11-07 12:54:16, 0.00, 1.50
2023-11-07 12:54:16, 0.00, 1.50
2023-11-07 12:54:16, 0.00, 1.50
2023-11-07 12:54:17, 0.00, 1.50
2023-11-07 12:54:17, 0.00, 1.50
2023-11-07 12:54:17, 0.00, 1.50
2023-11-07 12:54:17, 0.00, 1.50
2023-11-07 12:54:17, 0.00, 1.50
2023-11-07 12:54:17, 2.50, 1.50
2023-11-07 12:54:17, 0.00, 1.50
2023-11-07 12:54:17, 0.00, 1.50
2023-11-07 12:54:17, 0.00, 1.50
2023-11-07 12:54:17, 0.00, 1.50
2023-11-07 12:54:18, 0.00, 1.50
2023-11-07 12:54:18, 0.00, 1.50
2023-11-07 12:54:18, 0.00, 1.50
2023-11-07 12:54:18, 0.00, 1.50
2023-11-07 12:54:18, 0.00, 1.50
2023-11-07 12:54:18, 0.00, 1.50
2023-11-07 12:54:18, 0.00, 1.50
2023-11-07 12:54:18, 0.00, 1.50
2023-11-07 12:54:18, 0.00, 1.50
2023-11-07 12:54:18, 0.00, 1.50
2023-11-07 12:54:19, 2.50, 1.50
2023-11-07 12:54:19, 0.00, 1.50
2023-11-07 12:54:19, 0.00, 1.50
2023-11-07 12:54:19, 0.00, 1.50
2023-11-07 12:54:19, 2.40, 1.50
2023-11-07 12:54:19, 0.00, 1.50
2023-11-07 12:54:19, 0.00, 1.50
2023-11-07 12:54:19, 0.00, 1.50
2023-11-07 12:54:19, 0.00, 1.50
2023-11-07 12:54:19, 0.00, 1.50
2023-11-07 12:54:20, 0.00, 1.50
2023-11-07 12:54:20, 0.00, 1.50
2023-11-07 12:54:20, 0.00, 1.50
2023-11-07 12:54:20, 0.00, 1.50
2023-11-07 12:54:20, 0.00, 1.50
2023-11-07 12:54:20, 2.50, 1.50
2023-11-07 12:54:20, 0.00, 1.50
2023-11-07 12:54:20, 0.00, 1.50
2023-11-07 12:54:20, 2.40, 1.50
2023-11-07 12:54:20, 0.00, 1.50
2023-11-07 12:54:21, 0.00, 1.50
2023-11-07 12:54:21, 0.00, 1.50
2023-11-07 12:54:21, 0.00, 1.50
2023-11-07 12:54:21, 0.00, 1.50
2023-11-07 12:54:21, 0.00, 1.50
2023-11-07 12:54:21, 0.00, 1.50
2023-11-07 12:54:21, 0.00, 1.50
2023-11-07 12:54:21, 0.00, 1.50
2023-11-07 12:54:21, 0.00, 1.50
2023-11-07 12:54:21, 0.00, 1.50
2023-11-07 12:54:22, 2.40, 1.50
2023-11-07 12:54:22, 0.00, 1.50
2023-11-07 12:54:22, 2.60, 1.62
2023-11-07 12:54:22, 4.90, 1.62
2023-11-07 12:54:22, 0.00, 1.62
2023-11-07 12:54:22, 2.50, 1.62
2023-11-07 12:54:22, 2.50, 1.62
2023-11-07 12:54:22, 0.00, 1.62
2023-11-07 12:54:22, 7.10, 1.62
2023-11-07 12:54:22, 0.00, 1.62
2023-11-07 12:54:23, 7.10, 1.62
2023-11-07 12:54:23, 2.50, 1.62
2023-11-07 12:54:23, 0.00, 1.62
2023-11-07 12:54:23, 0.00, 1.62
2023-11-07 12:54:23, 0.00, 1.62
2023-11-07 12:54:23, 2.40, 1.62
2023-11-07 12:54:23, 0.00, 1.62
2023-11-07 12:54:23, 0.00, 1.62
2023-11-07 12:54:23, 0.00, 1.62
2023-11-07 12:54:23, 0.00, 1.62
2023-11-07 12:54:24, 0.00, 1.62
2023-11-07 12:54:24, 0.00, 1.62
2023-11-07 12:54:24, 0.00, 1.62
2023-11-07 12:54:24, 0.00, 1.62
2023-11-07 12:54:24, 0.00, 1.62
2023-11-07 12:54:24, 0.00, 1.62
2023-11-07 12:54:24, 0.00, 1.62
2023-11-07 12:54:24, 0.00, 1.62
2023-11-07 12:54:24, 0.00, 1.62
2023-11-07 12:54:24, 0.00, 1.62
2023-11-07 12:54:25, 2.40, 1.62
2023-11-07 12:54:25, 0.00, 1.62
2023-11-07 12:54:25, 0.00, 1.62
2023-11-07 12:54:25, 0.00, 1.62
2023-11-07 12:54:25, 0.00, 1.62
2023-11-07 12:54:25, 0.00, 1.62
2023-11-07 12:54:25, 0.00, 1.62
2023-11-07 12:54:25, 0.00, 1.62
2023-11-07 12:54:25, 0.00, 1.62
2023-11-07 12:54:26, 0.00, 1.62
2023-11-07 12:54:26, 0.00, 1.62
2023-11-07 12:54:26, 2.40, 1.62
2023-11-07 12:54:26, 0.00, 1.62
