Time, CPU Utilization (%), Memory Utilization (MB)
2023-11-07 12:09:34, 2.40, 1.38
2023-11-07 12:09:34, 0.00, 1.38
2023-11-07 12:09:34, 0.00, 1.38
2023-11-07 12:09:34, 0.00, 1.38
2023-11-07 12:09:34, 0.00, 1.38
2023-11-07 12:09:34, 0.00, 1.38
2023-11-07 12:09:34, 0.00, 1.38
2023-11-07 12:09:34, 0.00, 1.38
2023-11-07 12:09:35, 0.00, 1.38
2023-11-07 12:09:35, 0.00, 1.38
2023-11-07 12:09:35, 0.00, 1.50
2023-11-07 12:09:35, 0.00, 1.50
2023-11-07 12:09:35, 0.00, 1.50
2023-11-07 12:09:35, 0.00, 1.50
2023-11-07 12:09:35, 0.00, 1.50
2023-11-07 12:09:35, 0.00, 1.50
2023-11-07 12:09:35, 0.00, 1.50
2023-11-07 12:09:35, 0.00, 1.50
2023-11-07 12:09:36, 0.00, 1.50
2023-11-07 12:09:36, 0.00, 1.50
2023-11-07 12:09:36, 0.00, 1.50
2023-11-07 12:09:36, 0.00, 1.50
2023-11-07 12:09:36, 0.00, 1.50
2023-11-07 12:09:36, 0.00, 1.50
2023-11-07 12:09:36, 2.40, 1.50
2023-11-07 12:09:36, 0.00, 1.50
2023-11-07 12:09:36, 0.00, 1.50
2023-11-07 12:09:36, 0.00, 1.50
2023-11-07 12:09:37, 0.00, 1.50
2023-11-07 12:09:37, 0.00, 1.50
2023-11-07 12:09:37, 0.00, 1.50
2023-11-07 12:09:37, 0.00, 1.50
2023-11-07 12:09:37, 0.00, 1.50
2023-11-07 12:09:37, 0.00, 1.50
2023-11-07 12:09:37, 0.00, 1.50
2023-11-07 12:09:37, 0.00, 1.50
2023-11-07 12:09:37, 0.00, 1.50
2023-11-07 12:09:37, 0.00, 1.50
2023-11-07 12:09:38, 0.00, 1.50
2023-11-07 12:09:38, 0.00, 1.50
2023-11-07 12:09:38, 0.00, 1.50
2023-11-07 12:09:38, 2.40, 1.50
2023-11-07 12:09:38, 0.00, 1.50
2023-11-07 12:09:38, 0.00, 1.50
2023-11-07 12:09:38, 0.00, 1.50
2023-11-07 12:09:38, 0.00, 1.50
2023-11-07 12:09:38, 0.00, 1.50
2023-11-07 12:09:38, 2.40, 1.50
2023-11-07 12:09:39, 0.00, 1.50
2023-11-07 12:09:39, 0.00, 1.50
2023-11-07 12:09:39, 0.00, 1.50
2023-11-07 12:09:39, 0.00, 1.50
2023-11-07 12:09:39, 0.00, 1.50
2023-11-07 12:09:39, 0.00, 1.50
2023-11-07 12:09:39, 0.00, 1.50
2023-11-07 12:09:39, 0.00, 1.50
2023-11-07 12:09:39, 0.00, 1.50
2023-11-07 12:09:39, 0.00, 1.50
2023-11-07 12:09:40, 0.00, 1.50
2023-11-07 12:09:40, 0.00, 1.50
2023-11-07 12:09:40, 0.00, 1.50
2023-11-07 12:09:40, 0.00, 1.50
2023-11-07 12:09:40, 0.00, 1.50
2023-11-07 12:09:40, 0.00, 1.50
2023-11-07 12:09:40, 0.00, 1.50
2023-11-07 12:09:40, 0.00, 1.50
2023-11-07 12:09:40, 0.00, 1.50
2023-11-07 12:09:40, 0.00, 1.50
2023-11-07 12:09:41, 0.00, 1.50
2023-11-07 12:09:41, 0.00, 1.50
2023-11-07 12:09:41, 0.00, 1.50
2023-11-07 12:09:41, 0.00, 1.50
2023-11-07 12:09:41, 0.00, 1.50
2023-11-07 12:09:41, 0.00, 1.50
2023-11-07 12:09:41, 0.00, 1.50
2023-11-07 12:09:41, 0.00, 1.50
2023-11-07 12:09:41, 0.00, 1.50
2023-11-07 12:09:41, 0.00, 1.50
2023-11-07 12:09:42, 0.00, 1.50
2023-11-07 12:09:42, 0.00, 1.50
2023-11-07 12:09:42, 0.00, 1.50
2023-11-07 12:09:42, 0.00, 1.50
2023-11-07 12:09:42, 0.00, 1.50
2023-11-07 12:09:42, 0.00, 1.50
2023-11-07 12:09:42, 0.00, 1.50
2023-11-07 12:09:42, 0.00, 1.50
2023-11-07 12:09:42, 0.00, 1.50
2023-11-07 12:09:42, 0.00, 1.50
2023-11-07 12:09:43, 2.40, 1.50
2023-11-07 12:09:43, 0.00, 1.50
2023-11-07 12:09:43, 0.00, 1.50
2023-11-07 12:09:43, 0.00, 1.50
2023-11-07 12:09:43, 0.00, 1.50
2023-11-07 12:09:43, 0.00, 1.50
2023-11-07 12:09:43, 0.00, 1.50
2023-11-07 12:09:43, 0.00, 1.50
2023-11-07 12:09:43, 0.00, 1.50
2023-11-07 12:09:43, 0.00, 1.50
2023-11-07 12:09:44, 0.00, 1.50
2023-11-07 12:09:44, 0.00, 1.50
2023-11-07 12:09:44, 0.00, 1.50
2023-11-07 12:09:44, 0.00, 1.50
2023-11-07 12:09:44, 0.00, 1.50
2023-11-07 12:09:44, 0.00, 1.50
2023-11-07 12:09:44, 0.00, 1.50
2023-11-07 12:09:44, 0.00, 1.50
2023-11-07 12:09:44, 0.00, 1.50
2023-11-07 12:09:44, 0.00, 1.50
2023-11-07 12:09:45, 0.00, 1.50
2023-11-07 12:09:45, 0.00, 1.50
2023-11-07 12:09:45, 0.00, 1.50
2023-11-07 12:09:45, 4.90, 1.50
2023-11-07 12:09:45, 0.00, 1.50
2023-11-07 12:09:45, 0.00, 1.50
2023-11-07 12:09:45, 0.00, 1.50
2023-11-07 12:09:45, 0.00, 1.50
2023-11-07 12:09:45, 0.00, 1.50
2023-11-07 12:09:45, 0.00, 1.50
2023-11-07 12:09:46, 0.00, 1.50
2023-11-07 12:09:46, 0.00, 1.50
2023-11-07 12:09:46, 0.00, 1.50
2023-11-07 12:09:46, 0.00, 1.50
2023-11-07 12:09:46, 0.00, 1.50
2023-11-07 12:09:46, 0.00, 1.50
2023-11-07 12:09:46, 0.00, 1.50
2023-11-07 12:09:46, 0.00, 1.50
2023-11-07 12:09:46, 0.00, 1.50
2023-11-07 12:09:46, 2.40, 1.50
2023-11-07 12:09:47, 0.00, 1.50
2023-11-07 12:09:47, 0.00, 1.50
2023-11-07 12:09:47, 2.40, 1.50
2023-11-07 12:09:47, 0.00, 1.50
2023-11-07 12:09:47, 0.00, 1.50
2023-11-07 12:09:47, 0.00, 1.50
2023-11-07 12:09:47, 2.40, 1.50
2023-11-07 12:09:47, 0.00, 1.50
2023-11-07 12:09:47, 0.00, 1.50
2023-11-07 12:09:47, 0.00, 1.50
2023-11-07 12:09:48, 0.00, 1.50
2023-11-07 12:09:48, 0.00, 1.50
2023-11-07 12:09:48, 0.00, 1.50
2023-11-07 12:09:48, 0.00, 1.50
2023-11-07 12:09:48, 0.00, 1.50
2023-11-07 12:09:48, 0.00, 1.50
2023-11-07 12:09:48, 0.00, 1.50
2023-11-07 12:09:48, 0.00, 1.50
2023-11-07 12:09:48, 0.00, 1.50
2023-11-07 12:09:48, 0.00, 1.50
2023-11-07 12:09:49, 0.00, 1.50
2023-11-07 12:09:49, 0.00, 1.50
2023-11-07 12:09:49, 0.00, 1.50
2023-11-07 12:09:49, 0.00, 1.50
2023-11-07 12:09:49, 0.00, 1.50
2023-11-07 12:09:49, 0.00, 1.50
2023-11-07 12:09:49, 0.00, 1.50
