Time, CPU Utilization (%), Memory Utilization (MB)
2023-11-07 12:43:05, 0.00, 1.38
2023-11-07 12:43:05, 0.00, 1.38
2023-11-07 12:43:05, 0.00, 1.38
2023-11-07 12:43:05, 0.00, 1.38
2023-11-07 12:43:05, 2.40, 1.38
2023-11-07 12:43:05, 0.00, 1.38
2023-11-07 12:43:06, 2.50, 1.38
2023-11-07 12:43:06, 0.00, 1.38
2023-11-07 12:43:06, 0.00, 1.38
2023-11-07 12:43:06, 0.00, 1.38
2023-11-07 12:43:06, 0.00, 1.38
2023-11-07 12:43:06, 0.00, 1.38
2023-11-07 12:43:06, 0.00, 1.38
2023-11-07 12:43:06, 0.00, 1.38
2023-11-07 12:43:06, 0.00, 1.38
2023-11-07 12:43:06, 0.00, 1.38
2023-11-07 12:43:07, 0.00, 1.38
2023-11-07 12:43:07, 2.40, 1.38
2023-11-07 12:43:07, 0.00, 1.38
2023-11-07 12:43:07, 0.00, 1.38
2023-11-07 12:43:07, 0.00, 1.38
2023-11-07 12:43:07, 0.00, 1.38
2023-11-07 12:43:07, 0.00, 1.38
2023-11-07 12:43:07, 0.00, 1.38
2023-11-07 12:43:07, 0.00, 1.38
2023-11-07 12:43:07, 0.00, 1.38
2023-11-07 12:43:08, 0.00, 1.38
2023-11-07 12:43:08, 0.00, 1.38
2023-11-07 12:43:08, 0.00, 1.38
2023-11-07 12:43:08, 0.00, 1.38
2023-11-07 12:43:08, 0.00, 1.38
2023-11-07 12:43:08, 0.00, 1.38
2023-11-07 12:43:08, 0.00, 1.38
2023-11-07 12:43:08, 0.00, 1.38
2023-11-07 12:43:08, 0.00, 1.38
2023-11-07 12:43:08, 0.00, 1.38
2023-11-07 12:43:09, 2.50, 1.38
2023-11-07 12:43:09, 0.00, 1.38
2023-11-07 12:43:09, 0.00, 1.38
2023-11-07 12:43:09, 0.00, 1.38
2023-11-07 12:43:09, 0.00, 1.38
2023-11-07 12:43:09, 0.00, 1.38
2023-11-07 12:43:09, 0.00, 1.38
2023-11-07 12:43:09, 2.40, 1.38
2023-11-07 12:43:09, 0.00, 1.38
2023-11-07 12:43:09, 0.00, 1.38
2023-11-07 12:43:10, 0.00, 1.38
2023-11-07 12:43:10, 0.00, 1.38
2023-11-07 12:43:10, 0.00, 1.38
2023-11-07 12:43:10, 0.00, 1.38
2023-11-07 12:43:10, 0.00, 1.38
2023-11-07 12:43:10, 0.00, 1.38
2023-11-07 12:43:10, 0.00, 1.38
2023-11-07 12:43:10, 0.00, 1.38
2023-11-07 12:43:10, 0.00, 1.38
2023-11-07 12:43:10, 0.00, 1.38
2023-11-07 12:43:11, 2.40, 1.38
2023-11-07 12:43:11, 0.00, 1.38
2023-11-07 12:43:11, 0.00, 1.38
2023-11-07 12:43:11, 0.00, 1.38
2023-11-07 12:43:11, 0.00, 1.38
2023-11-07 12:43:11, 0.00, 1.38
2023-11-07 12:43:11, 0.00, 1.38
2023-11-07 12:43:11, 0.00, 1.38
2023-11-07 12:43:11, 0.00, 1.38
2023-11-07 12:43:11, 0.00, 1.38
2023-11-07 12:43:12, 7.10, 1.38
2023-11-07 12:43:12, 0.00, 1.38
2023-11-07 12:43:12, 0.00, 1.38
2023-11-07 12:43:12, 0.00, 1.38
2023-11-07 12:43:12, 0.00, 1.38
2023-11-07 12:43:12, 0.00, 1.38
2023-11-07 12:43:12, 0.00, 1.38
2023-11-07 12:43:12, 0.00, 1.38
2023-11-07 12:43:12, 0.00, 1.38
2023-11-07 12:43:12, 0.00, 1.38
2023-11-07 12:43:13, 0.00, 1.38
2023-11-07 12:43:13, 0.00, 1.38
2023-11-07 12:43:13, 0.00, 1.38
2023-11-07 12:43:13, 0.00, 1.38
2023-11-07 12:43:13, 0.00, 1.38
2023-11-07 12:43:13, 0.00, 1.38
2023-11-07 12:43:13, 0.00, 1.38
2023-11-07 12:43:13, 0.00, 1.38
2023-11-07 12:43:13, 0.00, 1.38
2023-11-07 12:43:13, 0.00, 1.38
2023-11-07 12:43:14, 0.00, 1.38
2023-11-07 12:43:14, 2.40, 1.38
2023-11-07 12:43:14, 0.00, 1.38
2023-11-07 12:43:14, 0.00, 1.38
2023-11-07 12:43:14, 0.00, 1.38
2023-11-07 12:43:14, 0.00, 1.38
2023-11-07 12:43:14, 2.40, 1.38
2023-11-07 12:43:14, 0.00, 1.38
2023-11-07 12:43:14, 2.40, 1.38
2023-11-07 12:43:14, 0.00, 1.38
2023-11-07 12:43:15, 4.90, 1.38
2023-11-07 12:43:15, 0.00, 1.38
2023-11-07 12:43:15, 0.00, 1.38
2023-11-07 12:43:15, 0.00, 1.38
2023-11-07 12:43:15, 0.00, 1.38
2023-11-07 12:43:15, 0.00, 1.38
2023-11-07 12:43:15, 0.00, 1.38
2023-11-07 12:43:15, 0.00, 1.38
2023-11-07 12:43:15, 0.00, 1.38
2023-11-07 12:43:15, 0.00, 1.38
2023-11-07 12:43:16, 0.00, 1.38
2023-11-07 12:43:16, 0.00, 1.38
2023-11-07 12:43:16, 0.00, 1.38
2023-11-07 12:43:16, 0.00, 1.38
2023-11-07 12:43:16, 0.00, 1.38
2023-11-07 12:43:16, 0.00, 1.38
2023-11-07 12:43:16, 2.40, 1.38
2023-11-07 12:43:16, 0.00, 1.38
2023-11-07 12:43:16, 0.00, 1.38
2023-11-07 12:43:16, 0.00, 1.38
2023-11-07 12:43:17, 0.00, 1.38
2023-11-07 12:43:17, 2.40, 1.38
2023-11-07 12:43:17, 0.00, 1.38
2023-11-07 12:43:17, 0.00, 1.38
2023-11-07 12:43:17, 2.40, 1.38
2023-11-07 12:43:17, 0.00, 1.38
2023-11-07 12:43:17, 2.40, 1.38
2023-11-07 12:43:17, 0.00, 1.38
2023-11-07 12:43:17, 0.00, 1.38
2023-11-07 12:43:17, 0.00, 1.38
2023-11-07 12:43:18, 0.00, 1.38
