Time, CPU Utilization (%), Memory Utilization (MB)
2023-11-07 12:23:45, 2.40, 1.38
2023-11-07 12:23:46, 0.00, 1.38
2023-11-07 12:23:46, 0.00, 1.38
2023-11-07 12:23:46, 0.00, 1.38
2023-11-07 12:23:46, 0.00, 1.38
2023-11-07 12:23:46, 0.00, 1.38
2023-11-07 12:23:46, 0.00, 1.38
2023-11-07 12:23:46, 0.00, 1.38
2023-11-07 12:23:46, 0.00, 1.38
2023-11-07 12:23:46, 0.00, 1.38
2023-11-07 12:23:46, 0.00, 1.38
2023-11-07 12:23:47, 2.40, 1.38
2023-11-07 12:23:47, 0.00, 1.38
2023-11-07 12:23:47, 0.00, 1.38
2023-11-07 12:23:47, 0.00, 1.38
2023-11-07 12:23:47, 0.00, 1.38
2023-11-07 12:23:47, 0.00, 1.38
2023-11-07 12:23:47, 0.00, 1.38
2023-11-07 12:23:47, 0.00, 1.38
2023-11-07 12:23:47, 0.00, 1.38
2023-11-07 12:23:47, 0.00, 1.38
2023-11-07 12:23:48, 0.00, 1.38
2023-11-07 12:23:48, 0.00, 1.38
2023-11-07 12:23:48, 0.00, 1.38
2023-11-07 12:23:48, 0.00, 1.38
2023-11-07 12:23:48, 0.00, 1.38
2023-11-07 12:23:48, 2.40, 1.38
2023-11-07 12:23:48, 0.00, 1.38
2023-11-07 12:23:48, 0.00, 1.38
2023-11-07 12:23:48, 0.00, 1.38
2023-11-07 12:23:48, 0.00, 1.50
2023-11-07 12:23:49, 2.40, 1.50
2023-11-07 12:23:49, 0.00, 1.50
2023-11-07 12:23:49, 0.00, 1.50
2023-11-07 12:23:49, 0.00, 1.50
2023-11-07 12:23:49, 0.00, 1.50
2023-11-07 12:23:49, 0.00, 1.50
2023-11-07 12:23:49, 2.40, 1.50
2023-11-07 12:23:49, 0.00, 1.50
2023-11-07 12:23:49, 0.00, 1.50
2023-11-07 12:23:49, 0.00, 1.50
2023-11-07 12:23:50, 0.00, 1.50
2023-11-07 12:23:50, 0.00, 1.50
2023-11-07 12:23:50, 0.00, 1.50
2023-11-07 12:23:50, 0.00, 1.50
2023-11-07 12:23:50, 0.00, 1.50
2023-11-07 12:23:50, 0.00, 1.50
2023-11-07 12:23:50, 0.00, 1.50
2023-11-07 12:23:50, 0.00, 1.50
2023-11-07 12:23:50, 0.00, 1.75
2023-11-07 12:23:50, 0.00, 1.75
2023-11-07 12:23:51, 0.00, 1.75
2023-11-07 12:23:51, 2.40, 1.75
2023-11-07 12:23:51, 0.00, 1.75
2023-11-07 12:23:51, 0.00, 1.75
2023-11-07 12:23:51, 2.40, 1.75
2023-11-07 12:23:51, 2.50, 1.75
2023-11-07 12:23:51, 0.00, 1.75
2023-11-07 12:23:51, 0.00, 1.75
2023-11-07 12:23:51, 0.00, 1.75
2023-11-07 12:23:51, 0.00, 1.75
2023-11-07 12:23:52, 0.00, 1.75
2023-11-07 12:23:52, 0.00, 1.75
2023-11-07 12:23:52, 0.00, 1.75
2023-11-07 12:23:52, 0.00, 1.75
2023-11-07 12:23:52, 0.00, 1.75
2023-11-07 12:23:52, 0.00, 1.75
2023-11-07 12:23:52, 0.00, 1.75
2023-11-07 12:23:52, 0.00, 1.75
2023-11-07 12:23:52, 0.00, 1.75
2023-11-07 12:23:52, 2.40, 1.88
2023-11-07 12:23:53, 0.00, 2.00
2023-11-07 12:23:53, 0.00, 2.00
2023-11-07 12:23:53, 0.00, 2.00
2023-11-07 12:23:53, 0.00, 2.00
2023-11-07 12:23:53, 0.00, 2.00
2023-11-07 12:23:53, 0.00, 2.00
2023-11-07 12:23:53, 0.00, 2.00
2023-11-07 12:23:53, 0.00, 2.00
2023-11-07 12:23:53, 0.00, 2.00
2023-11-07 12:23:53, 2.40, 2.00
2023-11-07 12:23:54, 0.00, 2.00
2023-11-07 12:23:54, 0.00, 2.00
2023-11-07 12:23:54, 0.00, 2.00
2023-11-07 12:23:54, 0.00, 2.00
2023-11-07 12:23:54, 0.00, 2.00
2023-11-07 12:23:54, 2.50, 2.00
2023-11-07 12:23:54, 0.00, 2.00
2023-11-07 12:23:54, 0.00, 2.00
2023-11-07 12:23:54, 0.00, 2.00
2023-11-07 12:23:54, 0.00, 2.00
2023-11-07 12:23:55, 0.00, 2.00
2023-11-07 12:23:55, 0.00, 2.00
2023-11-07 12:23:55, 0.00, 2.00
2023-11-07 12:23:55, 0.00, 2.00
2023-11-07 12:23:55, 0.00, 2.00
2023-11-07 12:23:55, 0.00, 2.00
2023-11-07 12:23:55, 0.00, 2.00
2023-11-07 12:23:55, 0.00, 2.00
2023-11-07 12:23:55, 0.00, 2.00
2023-11-07 12:23:55, 0.00, 2.00
2023-11-07 12:23:56, 2.40, 2.00
2023-11-07 12:23:56, 0.00, 2.00
2023-11-07 12:23:56, 0.00, 2.00
2023-11-07 12:23:56, 2.40, 2.00
2023-11-07 12:23:56, 0.00, 2.00
2023-11-07 12:23:56, 0.00, 2.00
2023-11-07 12:23:56, 0.00, 2.00
2023-11-07 12:23:56, 2.40, 2.00
2023-11-07 12:23:56, 0.00, 2.00
2023-11-07 12:23:56, 0.00, 2.00
2023-11-07 12:23:57, 0.00, 2.00
2023-11-07 12:23:57, 0.00, 2.00
2023-11-07 12:23:57, 0.00, 2.12
2023-11-07 12:23:57, 0.00, 2.25
2023-11-07 12:23:57, 0.00, 2.25
2023-11-07 12:23:57, 0.00, 2.25
2023-11-07 12:23:57, 2.40, 2.25
2023-11-07 12:23:57, 0.00, 2.25
2023-11-07 12:23:57, 0.00, 2.25
2023-11-07 12:23:57, 0.00, 2.25
2023-11-07 12:23:58, 0.00, 2.25
2023-11-07 12:23:58, 0.00, 2.25
2023-11-07 12:23:58, 0.00, 2.25
2023-11-07 12:23:58, 0.00, 2.25
2023-11-07 12:23:58, 0.00, 2.25
2023-11-07 12:23:58, 0.00, 2.25
